fda_term,product_count,keywords_matched
ALUMINUM STARCH OCTENYLSUCCINATE,861,starch
PEG-120 METHYL GLUCOSE DIOLEATE,354,glucose
OAT,312,oat
"STARCH, TAPIOCA",202,starch
CELLULOSE GUM,174,gum
BIOSACCHARIDE GUM-1,163,gum
DEXTRIN PALMITATE (CORN,161,dextrin
"HYDROLYZED WHEAT PROTEIN (ENZYMATIC, 3000 MW)",143,wheat
RICE BRAN OIL,126,bran
BIOSACCHARIDE GUM-4,115,gum
OAT KERNEL OIL,98,oat
METHYL GLUCOSE SESQUISTEARATE,91,glucose
PEG-20 METHYL GLUCOSE SESQUISTEARATE,83,glucose
ORYZA SATIVA (RICE) BRAN,78,bran
WHEAT GERM OIL,77,wheat
"STARCH, RICE",69,starch
WHEAT GERM,66,wheat
AVENA SATIVA WHOLE,53,avena
GLUCOSE,42,glucose
HYDROGENATED STARCH HYDROLYSATE,40,starch
DEHYDROXANTHAN GUM,38,gum
SCLEROTIUM GUM,36,gum
METHYL GLUCOSE DIOLEATE,32,glucose
ACACIA SEYAL GUM,30,gum
"DEXTRIN, CORN",29,dextrin
ACACIA SENEGAL GUM,29,gum
SODIUM GLYCOLATE,29,glycolate
"AMINO ACIDS, WHEAT",26,wheat
GLUCOSE OXIDASE,26,glucose
HYDROLYZED WHEAT PROTEIN (ENZYMATIC,25,wheat
AVENA SATIVA LEAF,24,avena
OAT BRAN,21,bran; oat
AVENA SATIVA (OAT) KERNEL OIL,21,oat; avena
AVENA SATIVA FLOWERING TOP,17,avena
PPG-20 METHYL GLUCOSE ETHER,17,glucose
CORN GRAIN,16,grain
CORN STARCH 3-E-DODECENYL SUCCINIC ANHYDRIDE MODIFIED,16,starch
WHEAT BRAN,15,wheat; bran
PISTACIA LENTISCUS (MASTIC) GUM,15,gum
PPG-20 METHYL GLUCOSE ETHER DISTEARATE,14,glucose
GELLAN GUM (HIGH ACYL),13,gum
LOCUST BEAN GUM,13,gum
BOSWELLIA SERRATA GUM,12,gum
ORYZA SATIVA (RICE) STARCH,11,starch
DIMETHICONOL GUM,11,gum
GELLAN GUM,10,gum
HORDEUM VULGARE WHOLE,10,hordeum
KARAYA GUM,10,gum
EUCALYPTUS GUM,10,gum
ETHYL GLYCOLATE,8,glycolate
"RICE BRAN, DEFATTED",7,bran
SODIUM HYDROLYZED POTATO STARCH DODECENYLSUCCINATE,6,starch
WHEAT SPROUT,6,wheat
SODIUM COCOYL WHEAT AMINO ACIDS,5,wheat
HORDEUM VULGARE TOP,5,hordeum
HYDROXYPROPYL STARCH,5,starch
"DEXTRIN, POTATO",5,dextrin
GUM TALHA,5,gum
BARLEY MALT SYRUP,5,barley; malt
"AMINO ACIDS, CORN GLUTEN",4,gluten
BARLEY MALT,4,barley; malt
SODIUM POLYACRYLATE STARCH (12 MICROMETER PARTICLE),4,starch
AVENA SATIVA (OAT) BRAN,4,bran; oat; avena
TRITICUM VULGARE (WHEAT) GERM,4,wheat; triticum
WHEAT GERM OIL UNSAPONIFIABLES,4,wheat
BIOSACCHARIDE GUM-2,4,gum
ALLYL AMYL GLYCOLATE,4,glycolate
AVENA SATIVA TOP,4,avena
DIPOTASSIUM GLUCOSE-6-PHOSPHATE,4,glucose
"AMINO ACIDS, OAT",4,oat
AVENA SATIVA (OAT) STARCH,4,oat; starch; avena
TRITICUM VULGARE (WHEAT) GERM OIL,3,wheat; triticum
DIMETHYLIMIDAZOLIDINONE RICE STARCH,3,starch
HORDEUM VULGARE ROOT,3,hordeum
PSEUDOMONAS GLUCOSE FERMENTATION RHAMNOLIPIDS,3,glucose
"2,3 DI-O-METHYL-D-GLUCOSE",3,glucose
OAT AMINO ACIDS,3,oat
AVENA SATIVA POLLEN,2,avena
GLUCOSE-6-PHOSPHATE,2,glucose
DIUTAN GUM,2,gum
BUTYL GLYCOLATE,2,glycolate
CAESALPINIA SPINOSA GUM,2,gum
GLUCOSE PENTAACETATE,2,glucose
"GLUCOSE 1,6-BISPHOSPHATE",2,glucose
WHEAT GLUTEN,2,wheat; gluten
METHYL GLUCOSE,2,glucose
SODIUM LAUROYL OAT AMINO ACIDS,2,oat
SODIUM POLYACRYLATE STARCH (25 MICROMETER PARTICLE),2,starch
.ALPHA.-GLUCOSE-1-PHOSPHATE DIPOTASSIUM DIHYDRATE,2,glucose
CETEARYL WHEAT STRAW GLYCOSIDES,2,wheat
CYAMOPSIS TETRAGONOLOBA (GUAR) GUM,1,gum
CEFATRIZINE PROPYLENE GLYCOLATE,1,glycolate
AVENA SATIVA (OAT) KERNEL EXTRACT,1,oat; avena
HORDEUM DISTICHON (BARLEY) EXTRACT,1,barley; hordeum
TRITICUM AESTIVUM WHOLE,1,triticum
STYRAX BENZOIN GUM,1,gum
TRITICUM AESTIVUM POLLEN,1,triticum
BARLEY BRAN,1,barley; bran
RHIZOBIAN GUM,1,gum
"STARCH, OAT",1,oat; starch
OAT STRAW,1,oat
SODIUM POLYACRYLATE STARCH (400 MICROMETER PARTICLE),1,starch
TRITICUM VULGARE (WHEAT) GERM OIL UNSAPONIFIABLES,1,wheat; triticum
SODIUM POLYACRYLATE STARCH (7 MICROMETER PARTICLE),1,starch
SOLANUM TUBEROSUM (POTATO) STARCH,1,starch
HYDROXYPROPYL BETADEX (0.6 HYDROXYPROPYL RESIDUES PER GLUCOSE),1,glucose
HYDROXYETHYL STARCH 130/0.4,1,starch
