"drug_name","generic_name","brand_generic","category","dosage_form","route","active_ingredients","single_or_combo","excipients_raw","gluten_flag","flagged_excipients","flagged_excipient_flags","ndc_code","package_ndc","approval_type","marketing_status","manufacturer","set_id","dailymed_url"
"Mucus Relief Congestion and Headache","Acetaminophen, Guaifenesin, Phenylephrine HCL","otc_monograph","analgesic_antipyretic","LIQUID","ORAL","ACETAMINOPHEN; GUAIFENESIN; PHENYLEPHRINE HYDROCHLORIDE","combo","ANHYDROUS CITRIC ACID; EDETATE DISODIUM; FD&C BLUE NO. 1; FD&C RED NO. 40; GLYCERIN; PROPYL GALLATE; PROPYLENE GLYCOL; WATER; SODIUM BENZOATE; TRISODIUM CITRATE DIHYDRATE; SORBITOL; SUCRALOSE; XANTHAN GUM","gluten_free","XANTHAN GUM","gluten_free","55910-757","55910-757-09","OTC Monograph Drug","completed","Dolgencorp, Inc.  (DOLLAR GENERAL & REXALL)","2638b541-e680-4949-a7c7-fcee165cbc92","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2638b541-e680-4949-a7c7-fcee165cbc92"
"Mucus Relief","Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl","otc_monograph","analgesic_antipyretic","LIQUID","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN; PHENYLEPHRINE HYDROCHLORIDE","combo","ANHYDROUS CITRIC ACID; EDETATE DISODIUM; FD&C BLUE NO. 1; FD&C RED NO. 40; GLYCERIN; PROPYL GALLATE; PROPYLENE GLYCOL; WATER; SODIUM BENZOATE; TRISODIUM CITRATE DIHYDRATE; SORBITOL; SUCRALOSE; XANTHAN GUM","gluten_free","XANTHAN GUM","gluten_free","55910-336","55910-336-09","OTC Monograph Drug","completed","Dolgencorp, Inc.  (DOLLAR GENERAL & REXALL)","4e2a8b53-0074-42fd-8357-a39cc6afe608","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4e2a8b53-0074-42fd-8357-a39cc6afe608"
"Mucus Relief Severe Cold","Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl","otc_monograph","analgesic_antipyretic","LIQUID","ORAL","DEXTROMETHORPHAN HYDROBROMIDE; ACETAMINOPHEN; GUAIFENESIN; PHENYLEPHRINE HYDROCHLORIDE","combo","ANHYDROUS CITRIC ACID; EDETATE DISODIUM; FD&C BLUE NO. 1; FD&C RED NO. 40; GLYCERIN; PROPYL GALLATE; PROPYLENE GLYCOL; WATER; SODIUM BENZOATE; SODIUM CITRATE; SORBITOL; SUCRALOSE; XANTHAN GUM","gluten_free","XANTHAN GUM","gluten_free","11673-410","11673-410-06","OTC Monograph Drug","completed","TARGET Corporation","5ccaf3b0-096a-4644-9c6e-9f251c167b3c","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5ccaf3b0-096a-4644-9c6e-9f251c167b3c"
"FirstCare Childrens Pain Fever Acetaminophen","Acetaminophen 80 mg","otc_monograph","analgesic_antipyretic","TABLET, CHEWABLE","ORAL","ACETAMINOPHEN","single","HYDROXYPROPYL BETADEX; GLYCERYL MONO AND DIPALMITOSTEARATE; SUCRALOSE; STEVIA LEAF; SODIUM CHLORIDE; CARRAGEENAN; MALTODEXTRIN; MONOBASIC POTASSIUM PHOSPHATE; WATER; SUCROSE; CORN SYRUP; D&C RED NO. 33; STARCH, CORN","gluten_free","MALTODEXTRIN; CORN SYRUP; STARCH, CORN","gluten_free; gluten_free; gluten_free","71594-702","71594-702-13","OTC Monograph Drug","active","USpharma Ltd","9fc05ba6-5667-457e-82c1-a8b4e16cadda","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9fc05ba6-5667-457e-82c1-a8b4e16cadda"
"Daytime Nighttime Cold Flu Relief","Acetaminophen, Dextromethorphan HBr, Doxylamine succinate, Phenylephrine HCL","otc_monograph","analgesic_antipyretic","KIT","ORAL","","single","","no_data","","","49035-192","49035-192-48","OTC Monograph Drug","active","EQUATE (Wal-Mart Stores, Inc.) (see also WAL-MART INC)","f288eeca-9803-4962-a802-fe34f5983c7a","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f288eeca-9803-4962-a802-fe34f5983c7a"
"hydrocodone bitartrate and acetaminophen","hydrocodone bitartrate and acetaminophen","generic","analgesic_antipyretic","TABLET","ORAL","HYDROCODONE BITARTRATE; ACETAMINOPHEN","combo","MICROCRYSTALLINE CELLULOSE; CROSCARMELLOSE SODIUM; MAGNESIUM STEARATE; POVIDONE, UNSPECIFIED; SILICON DIOXIDE; STARCH, CORN; STEARIC ACID; FD&C BLUE NO. 1","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","63629-1183","63629-1183-1","ANDA","active","Bryant Ranch Prepack","1cdeaf5e-5f82-4820-b244-b0ec7a7307e1","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1cdeaf5e-5f82-4820-b244-b0ec7a7307e1"
"hydrocodone bitartrate and acetaminophen","hydrocodone bitartrate and acetaminophen","generic","analgesic_antipyretic","TABLET","ORAL","HYDROCODONE BITARTRATE; ACETAMINOPHEN","combo","MICROCRYSTALLINE CELLULOSE; CROSCARMELLOSE SODIUM; MAGNESIUM STEARATE; POVIDONE, UNSPECIFIED; SILICON DIOXIDE; STARCH, CORN; STEARIC ACID; FD&C YELLOW NO. 6","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","63629-1177","63629-1177-1","ANDA","active","Bryant Ranch Prepack","2f6d0712-e756-49f2-a6b8-bbd160a454c4","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2f6d0712-e756-49f2-a6b8-bbd160a454c4"
"BUTALBITAL AND ACETAMINOPHEN","butalbital and acetaminophen","generic","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; BUTALBITAL","combo","SILICON DIOXIDE; CROSCARMELLOSE SODIUM; CROSPOVIDONE; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POVIDONE; STARCH, CORN; SILICIFIED MICROCRYSTALLINE CELLULOSE (50 .MICRO.M); STEARIC ACID","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","69292-301","69292-301-01","ANDA","active","Amici Pharma, Inc.","3280501f-928a-4112-803d-fb9771c86547","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3280501f-928a-4112-803d-fb9771c86547"
"BUTALBITAL AND ACETAMINOPHEN","butalbital and acetaminophen","generic","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; BUTALBITAL","combo","SILICON DIOXIDE; CROSCARMELLOSE SODIUM; CROSPOVIDONE; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POVIDONE; STARCH, CORN; SILICIFIED MICROCRYSTALLINE CELLULOSE (50 .MICRO.M); STEARIC ACID","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","69292-302","69292-302-01","ANDA","active","Amici Pharma, Inc.","3280501f-928a-4112-803d-fb9771c86547","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3280501f-928a-4112-803d-fb9771c86547"
"BUTALBITAL AND ACETAMINOPHEN","butalbital and acetaminophen","generic","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; BUTALBITAL","combo","SILICON DIOXIDE; CROSCARMELLOSE SODIUM; CROSPOVIDONE; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POVIDONE; STARCH, CORN; SILICIFIED MICROCRYSTALLINE CELLULOSE (50 .MICRO.M); STEARIC ACID","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","69292-303","69292-303-01","ANDA","active","Amici Pharma, Inc.","3280501f-928a-4112-803d-fb9771c86547","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3280501f-928a-4112-803d-fb9771c86547"
