set_id,drug_name,ndc_code,manufacturer,dosage_form,approval_type,warning_level,loinc_code,triggering_text
cfe9214d-25e9-7729-e053-2a95a90a0dfb,Pepto Bismol,69423-963,The Procter & Gamble Manufacturing Company,"TABLET, CHEWABLE",OTC Monograph Drug,silent,,
f9fad6a8-ed8f-45d9-b3d3-422c81f4b83a,Multi-Symptom Cold and Flu,41520-068,Care One (American Sales Company),"CAPSULE, LIQUID FILLED",OTC Monograph Drug,silent,,
19b5b960-cc4d-42d0-8c8a-04a355a4db92,Omeprazole,59779-580,CVS Pharmacy,"TABLET, DELAYED RELEASE",NDA,silent,,
4ad9398f-7488-6eaf-e054-00144ff8d46c,Cough Drops Cherry with Sugar,71141-111,Lidl US LLC,TABLET,OTC Monograph Drug,set_id_not_found_or_empty,,
0803ad9c-1da8-a556-e063-6294a90add7f,Tums Antacid Chewy Bites,66715-8151,"Lil' Drug Store products, Inc.","TABLET, CHEWABLE",OTC Monograph Drug,silent,,
51bcc19d-acfc-487b-870b-251c8953741f,foster and thrive omeprazole,70677-1275,Strategic Sourcing Services LLC,"TABLET, DELAYED RELEASE",NDA,silent,,
98cdf19d-8b8a-4051-88bb-79160b2af39e,Peptide Lip Shine SPF30 Sunscreen,68078-080,"Colorescience, Inc.",LIQUID,OTC monograph drug,silent,,
3a6506c4-1ba9-493a-a4c8-e5f9c60d221b,Lip Shine SPF35 Sunscreen,68078-028,Colorescience,LIQUID,OTC Monograph Drug,silent,,
43e175b4-7a48-431e-bf27-9ce7dee53f5e,Softlips Pearl,10742-8573,The Mentholatum Company,STICK,OTC Monograph Drug,silent,,
14c56f3d-67fd-45ef-a16b-f27604722883,"Mucinex Childrens FreeFrom Multi-Symptom Cold, Flu and Sore Throat",63824-958,RB Health (US) LLC,SOLUTION,OTC Monograph Drug,silent,,
176fe4f5-f72d-4fc2-bd9a-20626c9ab634,Wal-itin,0363-0754,Walgreens,"TABLET, CHEWABLE",ANDA,silent,,
