set_id,drug_name,ndc_code,manufacturer,dosage_form,warning_level,loinc_code,triggering_text
c4925b2c-bde1-45fd-8109-dc75bee3b7a3,SEREVENT,68258-8961,"Dispensing Solutions, Inc.","POWDER, METERED",section_4_contraindication,34070-3,"atients with severe hypersensitivity to milk proteins [see Warnings and Precautions (5.7), Adverse Reactions (6.3), Description (11)] . Asthma: "
87c7febc-6d0e-874c-e053-2995a90a9656,FLOVENT,76519-1177,"H.J. Harkins Company, Inc.","POWDER, METERED",section_4_contraindication,34070-3,ions (5.2)] •Severe hypersensitivity to milk proteins or demonstrated hypersensitivity to fluticasone propionate [see W
816e929e-6ba0-437d-80bb-00068419ed53,FLOVENT,63187-957,Proficient Rx LP,"POWDER, METERED",section_4_contraindication,34070-3,ons (5.2)] • Severe hypersensitivity to milk proteins or demonstrated hypersensitivity to fluticasone propionate [see W
28e6becd-a65a-4245-b282-5766127567a2,ProAir RespiClick,53002-1750,"RPK Pharmaceuticals, Inc.","POWDER, METERED",section_4_contraindication,34070-3,"terol and/or severe hypersensitivity to milk proteins.  Rare cases of hypersensitivity reactions, including urticaria, "
2eba3089-28b4-4190-9fba-2511246cfd16,DUAKLIR PRESSAIR,70515-001,"Covis Pharma US, Inc","POWDER, METERED",section_4_contraindication,34070-3,"ents with: • Severe hypersensitivity to milk proteins [see Warnings and Precautions (5.5) ] . • Hypersensitivity to aclidinium bromide, formotero"
6f92cceb-a63f-4470-99b6-56179d98f10f,Tudorza Pressair,70515-002,"Covis Pharma US, Inc","POWDER, METERED",section_4_contraindication,34070-3,onditions: • Severe hypersensitivity to milk proteins [see Warnings and Precautions (5.5) ] • Hypersensitivity to aclidinium bromide or any of 
038e6c40-9421-40ef-874b-8f4d7110a74a,FLOVENT,50090-1245,A-S Medication Solutions,"POWDER, METERED",section_4_contraindication,34070-3,ons (5.2)] • Severe hypersensitivity to milk proteins or demonstrated hypersensitivity to fluticasone propionate [see W
64d669da-559c-40f5-b649-2ce164c211ea,FLUTICASONE PROPIONATE,50090-7076,A-S Medication Solutions,"POWDER, METERED",section_4_contraindication,34070-3,s ( 5.2 )] • Severe hypersensitivity to milk proteins or demonstrated hypersensitivity to fluticasone propionate [see W
9324e2eb-26fd-4f14-9f10-e5aa467306f4,ProAir RespiClick,59310-580,"Teva Respiratory, LLC","POWDER, METERED",section_4_contraindication,34070-3,"terol and/or severe hypersensitivity to milk proteins.  Rare cases of hypersensitivity reactions, including urticaria, "
9c122b91-a11f-49ca-80bb-3eec5112db87,AirDuo RespiClick,59310-805,"Teva Respiratory, LLC","POWDER, METERED",section_4_contraindication,34070-3,s with known severe hypersensitivity to milk proteins or who have demonstrated hypersensitivity to fluticasone propionate or any
43a27267-2f2b-410d-9c30-9cb95f35d9a1,Fluticasone Propionate and Salmeterol,0093-3607,"Teva Pharmaceuticals USA, Inc.","POWDER, METERED",section_4_contraindication,34070-3,s with known severe hypersensitivity to milk proteins or who have demonstrated hypersensitivity to fluticasone propionate or any
84654ac7-e2b4-4fa1-b127-69aee03aecc0,Fluticasone Propionate and Salmeterol,63629-8809,Bryant Ranch Prepack,"POWDER, METERED",section_4_contraindication,34070-3,s with known severe hypersensitivity to milk proteins or who have demonstrated hypersensitivity to fluticasone propionate or any
667ce3ec-5217-4b10-b712-f3e54fbbf087,ProAir Digihaler,59310-540,"Teva Respiratory, LLC","POWDER, METERED",section_4_contraindication,34070-3,"terol and/or severe hypersensitivity to milk proteins. Rare cases of hypersensitivity reactions, including urticaria, "
77269609-fb89-47c7-97cc-22e0183e91ae,Fluticasone Propionate and Salmeterol,50090-3271,A-S Medication Solutions,"POWDER, METERED",section_4_contraindication,34070-3,s with known severe hypersensitivity to milk proteins or who have demonstrated hypersensitivity to fluticasone propionate or any
038db4da-1448-4603-a34d-2efd9059811b,Fluticasone Propionate and Salmeterol,63629-8811,Bryant Ranch Prepack,"POWDER, METERED",section_4_contraindication,34070-3,s with known severe hypersensitivity to milk proteins or who have demonstrated hypersensitivity to fluticasone propionate or any
f3bce31d-93f9-4ca6-835e-b16e2d31b6c5,Fluticasone Propionate and Salmeterol,63629-8810,Bryant Ranch Prepack,"POWDER, METERED",section_4_contraindication,34070-3,s with known severe hypersensitivity to milk proteins or who have demonstrated hypersensitivity to fluticasone propionate or any
12d9728e-6b5c-4aee-bfb0-745e542ed2e4,SEREVENT,0173-0521,GlaxoSmithKline LLC,"POWDER, METERED",section_4_contraindication,34070-3,s ( 5.2 )] • Severe hypersensitivity to milk proteins or demonstrated hypersensitivity to salmeterol or any of the exci
44d009ba-d4b8-410f-b2bc-71ab2d05ac9e,FLUTICASONE PROPIONATE,66993-790,Prasco Laboratories,"POWDER, METERED",section_4_contraindication,34070-3,s ( 5.2 )] • Severe hypersensitivity to milk proteins or demonstrated hypersensitivity to fluticasone propionate [see W
29f4637b-e204-425b-b89c-7238008d8c10,AFREZZA,47918-874,Mannkind Corporation,"POWDER, METERED",silent,,
