set_id,drug_name,ndc_code,manufacturer,dosage_form,approval_type,warning_level,loinc_code,triggering_text
66ca7a94-378b-4476-8060-d9c6f82f57fc,Docusate Sodium,55289-493,"PD-Rx Pharmaceuticals, Inc.",CAPSULE,OTC Monograph Drug,silent,,
730198a5-b6d9-4fc7-b053-a7c65a93c540,Fiber Lax,55289-949,"PD-Rx Pharmaceuticals, Inc.","TABLET, FILM COATED",OTC Monograph Drug,silent,,
bfda6547-19b2-4230-87a1-a68fbec740b4,Ibuprofen,63868-773,CHAIN DRUG MARKETING ASSOCIATION INC,"TABLET, FILM COATED",ANDA,silent,,
036f8eaa-7eb9-46f4-b42e-3c8c7e49e450,ValuMeds 24-Hour Allergy Relief,82725-1002,Cabinet Health P.B.C.,TABLET,ANDA,silent,,
05364eb4-07a1-a4d9-e063-6294a90a47e5,Tension Headache Relief,49483-373,TIME CAP LABS INC,TABLET,OTC Monograph Drug,silent,,
0face45c-af24-3559-e063-6294a90abde5,ZYRTEC Allergy,50580-786,Kenvue Brands LLC,"CAPSULE, LIQUID FILLED",ANDA,silent,,
1022767d-a456-4fbc-95cf-91337c74c330,Daytime Sinus,30142-732,Kroger Company,"TABLET, FILM COATED",OTC Monograph Drug,silent,,
1e2e6e3a-b095-4d5b-86fe-61eb44a87cf0,Naproxen,46122-564,Amerisource Bergen,"TABLET, FILM COATED",ANDA,silent,,
311e2b6b-21cb-4b4c-a78d-a0732d29602f,Daytime Cold and Flu,41163-998,"United Natural Foods, Inc. dba UNFI","CAPSULE, LIQUID FILLED",OTC Monograph Drug,silent,,
3a02af7e-7e69-45a6-97d7-ddc7d92b28b3,Ibuprofen,55319-552,Family Dollar (FAMILY WELLNESS),"CAPSULE, LIQUID FILLED",ANDA,silent,,
3bb7dc60-97b2-1291-e063-6294a90a26d9,TYLENOL Extra Strength,50580-469,Kenvue Brands LLC,"CAPSULE, LIQUID FILLED",OTC Monograph Drug,silent,,
3d6c7b10-ed05-bbde-e063-6294a90ae92f,CVS Fexofenadine Hydrochloride,51316-183,CVS Pharmacy,TABLET,ANDA,silent,,
3d711302-dc4e-0a69-e063-6394a90ade10,CVS Cetirizine Hydrochloride,51316-182,CVS Pharmacy,TABLET,ANDA,silent,,
3e87d0f3-f16c-5972-e063-6294a90acc8a,Histanaz,29978-129,"Capital Pharmaceutical, LLC",TABLET,OTC Monograph Drug,silent,,
72f933d8-cf01-4bb6-a552-e3cdb297038b,Ibuprofen Minis,55319-971,Family Dollar (FAMILY WELLNESS),"CAPSULE, LIQUID FILLED",ANDA,silent,,
815a70e4-525c-4015-8d3b-83dbb979a66f,Aspirin,79481-1570,"Meijer Distribution, Inc.","TABLET, FILM COATED",OTC Monograph Drug,silent,,
9f971b95-47f4-4bd4-beec-2296b4c9cbdc,Diurex Water Pills,52389-406,"Kobayashi Healthcare International, Inc.","TABLET, FILM COATED",OTC Monograph Drug,silent,,
b16a81db-d9bc-4cce-8ec2-dc189184931e,"ValuMeds Cough Relief, Dextromethorphan Hbr",82725-1010,Cabinet Health P.B.C.,"CAPSULE, LIQUID FILLED",OTC Monograph Drug,silent,,
c23ad304-a5de-454e-a135-4eb143af2381,fexofenadine hcl,71335-2165,Bryant Ranch Prepack,"TABLET, FILM COATED",ANDA,silent,,
e01be0d7-e16d-44f1-9a0c-251ff9a65d28,Ibuprofen PM,55319-197,Family Dollar (FAMILY WELLNESS),"TABLET, COATED",ANDA,silent,,
